VF-OPS-003 — Supply Chain & Inventory Management · Implementation Task List;;;;;;;;;;;
ID;Title;Description;Acceptance Criteria;Epic;Role;SP;Priority;Sprint;Dependencies;Status;Notes
BE-07;Goods receipt & discrepancy handling;Implement GR endpoint with all four scenarios from §2.1.4: partial receipt, quality rejection (SupplierRejection record), over-receipt prevention (HTTP 422), receipt without PO (UnmatchedReceipt, Finance approval required). Stock update via ledger.;All four GR scenarios handled correctly. Quality-rejected items do NOT enter stock. Over-receipt returns HTTP 422. UnmatchedReceipt created with audit flag. PO status updates correctly (PARTIAL/FULLY_RECEIVED). Supplier performance updated.;Epic 2: Backend;BE;8;P0;Sprint 2;BE-02,BE-03;Not Started;Quality rejection must NOT increase stock. Over-receipt must be rejected — not silently capped.
BE-08;Supplier performance scoring;Calculate and update all four performance metrics on every GR: on-time delivery rate, quality rejection rate, lead time accuracy. Price accuracy rate deferred to Phase 4 AP integration. Composite risk score (0–100).;All three available metrics update correctly after GR. Risk score calculated and stored. Score bands (GREEN/AMBER/RED) applied. Score decline from GREEN to AMBER triggers review task for Procurement Manager.;Epic 2: Backend;BE;5;P1;Sprint 2;BE-07,DB-01;Not Started;
BE-09;Audit logging interceptor;Log all state-changing actions: stock adjustments (with reason code and user), PO approvals, PR approvals, supplier status changes, adjustment approvals. All entries immutable.;Every state change creates audit entry with userId, action, previousValue, newValue, reason, timestamp. No DELETE/PUT on audit records. Reuse VF-LEG-001 audit structure confirmed with CLM team.;Epic 2: Backend;BE;3;P1;Sprint 2;DB-01;Not Started;
BE-10;PO amendment workflow;Implement PurchaseOrderAmendment with versioning. Original PO preserved as read-only. Amendment re-runs approval chain if value increases above threshold. Supplier notified by email with amendment details. Supplier acknowledgement tracked.;Amendment creates new version. Original PO read-only after amendment raised. Approval re-run fires when value increases past threshold. Supplier email sent. Acknowledgement status tracked.;Epic 2: Backend;BE;8;P1;Sprint 3;BE-06,INF-03;Not Started;Referenced in SEC-03 but never designed in v1. High-frequency operational workflow.
BE-11;Three-way matching engine;Implement SupplierInvoice CRUD. Automatic matching against PurchaseOrder (price/quantity) and GoodsReceipt (delivered quantity). Discrepancy detection and routing. Approved invoices create AP payment record stub.;Three-way match executes correctly for MATCHED scenario. PRICE_VARIANCE and QUANTITY_VARIANCE detected and routed to Procurement Manager. Matched invoices create AP stub for Phase 4 integration.;Epic 2: Backend;BE;8;P1;Sprint 3;BE-06,BE-07;Not Started;Phase 4 AP automation depends on this. Model and matching logic must be built now.
BE-12;Demand forecasting service;12-month rolling average consumption with seasonal adjustment. DemandForecast records per SKU per location for 30/60/90 day windows. Monthly EOQ recalculation. Dynamic reorder point update.;Forecast accuracy measurable. EOQ formula implemented correctly. Dynamic reorder points update when consumption patterns change. Forecast confidence shown in API response.;Epic 2: Backend;BE;13;P1;Sprint 3;BE-02,BE-03,DB-02;Not Started;Requires 3+ months of LEDGER_OUT history before forecasts are meaningful. Show data sufficiency indicator in UI.
BE-13;ABC/XYZ classification engine;Calculate ABC classification from inventory value contribution. Calculate XYZ from demand variance coefficient. Store as Product.abcClass, Product.xyzClass. Update monthly. Drive differentiated cycle count frequencies.;ABC classification correct for test dataset. XYZ classification correct. Combined matrix stored. Cycle count frequency driven by ABC class. Dashboard heat map data endpoint works.;Epic 2: Backend;BE;5;P2;Sprint 4;BE-02,BE-12;Not Started;
BE-14;Supplier risk register;Implement SupplierRisk CRUD. Single-source dependency detection (only one active supplier for a product category). Alert when single-source supplier risk score drops below 60.;Risk CRUD works. Single-source detection runs on supplier status change and score change. Alert fires and creates review task for Procurement Manager.;Epic 2: Backend;BE;5;P1;Sprint 3;BE-08,DB-02;Not Started;
BE-15;RFQ management service;Implement RFQ CRUD. Supplier invitation. Quote submission endpoint (supplier-facing or manual input). Quote comparison scoring. Mandate RFQ for high-value procurement above configurable threshold.;RFQ CRUD works. Supplier invitations sent by email. Quote comparison matrix produced. High-value threshold enforcement works (HTTP 422 if RFQ not completed before PO raise).;Epic 2: Backend;BE;8;P2;Sprint 4;BE-01,INF-02;Not Started;
BE-16;Stock valuation service;Implement FIFO, weighted average cost, and standard cost valuation methods. Real-time total portfolio valuation updated on every ledger write. Valuation by location, ABC class, category, supplier.;All three methods produce correct valuations on test dataset. Verified by Finance team. Portfolio valuation updates on every ledger write. Breakdown views work.;Epic 2: Backend;BE;8;P1;Sprint 3;BE-02,BE-03;Not Started;
BE-17;COGS tracking & VF-OPS-001 integration;Every LEDGER_OUT (project allocation, write-off) creates COGSRecord linked to VF-OPS-001 project. Actual material costs flow to project actual spend automatically.;COGS records created on every LEDGER_OUT. VF-OPS-001 project actual spend updated. Finance team confirms COGS reconciles with project budget reports.;Epic 2: Backend;BE;5;P1;Sprint 4;BE-02,BE-16;Not Started;
BE-18;Predictive stockout detection;Combine demand forecast, current stock, in-transit quantities, and supplier lead time to predict stockout date per SKU per location. Prioritised alert queue showing urgency.;Stockout predictions accurate on test dataset. Alert queue sorted by days-to-stockout. In-transit quantities excluded from available stock calculation. Data sufficiency check gates feature.;Epic 2: Backend;BE;8;P2;Sprint 4;BE-12,BE-03;Not Started;Requires 3+ months of data. Gate behind data sufficiency check.
BE-19;Spend analytics service;Category spend analysis (total spend by category, supplier, cost centre, project over 12 months). Maverick spend detection (purchases bypassing preferred supplier or contracted rate).;Spend analysis query correct. Maverick spend identified and quantified. Report exportable as CSV. < 3s query time at 12 months of data.;Epic 2: Backend;BE;5;P2;Sprint 4;BE-06,BE-17;Not Started;
BE-20;Cycle count workflow;Implement CycleCount model and workflow. Frequency driven by ABC class (A=quarterly, B=bi-annually, C=annually). Count results create CYCLE_COUNT ledger entries for variance. Variance report.;Cycle count schedule generated by ABC class. Count workflow: assign counter, record counts, approve variances, create ledger entries. Variance report shows discrepancy value.;Epic 2: Backend;BE;5;P1;Sprint 3;BE-02,BE-13;Not Started;
FE-01;Supply chain dashboard;Build /ops/supply-chain/dashboard with: StockAlerts (below reorder + predicted stockouts), PendingDeliveries (POs expected this week), InventoryValuation (total £ value), WorkingCapitalWidget, ABCDistributionChart.;All 5 widgets render correctly. Stock alerts sorted by urgency. Predicted stockout alerts distinguished from current reorder alerts. Valuation matches backend.;Epic 3: Frontend;FE;8;P0;Sprint 2;BE-03,BE-04;Not Started;
FE-02;Inventory catalog;Build /ops/supply-chain/inventory searchable table with: stock levels per location, ABC class badge, reorder status indicator, unit cost (Finance role only), click-through to ledger history.;Table searchable and filterable. ABC badges colour-coded. Reorder status indicator (green/amber/red). Unit cost hidden for non-Finance roles. Click opens full ledger history.;Epic 3: Frontend;FE;5;P0;Sprint 2;BE-03;Not Started;
FE-03;Stock ledger history view;Build ledger history panel per product showing all entries in reverse chronological order. Entry type badges, quantity change, running balance, user, timestamp, reason code (for adjustments).;All 10 entry types displayed with correct badges. Running balance correct. Reason code shown for adjustment entries. Export to CSV works.;Epic 3: Frontend;FE;5;P1;Sprint 3;BE-02;Not Started;
FE-04;Procurement queue — PR approvals;Build /ops/supply-chain/procurement PR approval interface. List of pending PRs sorted by value and urgency. Approve/Reject/Return actions. Multi-level approval status indicator. Budget check result visible.;Pending PRs listed with value, requester, cost centre, budget status. Approve/Reject/Return actions work. Multi-level status shows which approvers have acted. Self-approval button absent for own PRs.;Epic 3: Frontend;FE;5;P0;Sprint 2;BE-05;Not Started;
FE-05;PO manager;Build PO list and detail view. View/edit draft POs. Send to supplier button (triggers PDF generation and email). PO PDF preview. Amendment creation workflow.;PO list shows status badges. Draft POs editable. Send button triggers BE-06 and shows success confirmation with PDF preview link. Amendment workflow accessible from locked POs.;Epic 3: Frontend;FE;5;P1;Sprint 3;BE-06;Not Started;
FE-06;Goods receipt wizard;Build step-by-step GR wizard: (1) Select PO, (2) Input quantities received per line item, (3) Flag quality rejections with reason, (4) Select receiving location, (5) Confirm and submit. Shows partial receipt status.;All 5 steps work. Quality rejection reason required when qty rejected > 0. Over-receipt shows clear error before submission. Partial receipt clearly indicated. Stock update confirmation shown on completion.;Epic 3: Frontend;FE;8;P0;Sprint 3;BE-07;Not Started;Quality rejection items must be clearly visually distinguished from received items — they must NOT be added to stock.
FE-07;Stock adjustment modal;Build manual stock adjustment form. Requires reason code selection. Shows approval requirement indicator when value exceeds £1,000 threshold. Dual-entry confirmation for large adjustments.;Reason code required (dropdown). Approval indicator shown when value > threshold. Dual confirmation shown for large adjustments. Adjustment preview shows before/after stock levels.;Epic 3: Frontend;FE;5;P1;Sprint 2;BE-02;Not Started;
FE-08;RBAC frontend guards;Implement route guards and component-level permission checks per RBAC matrix in §2.2.1. Unit cost hidden for non-Finance. Create PO button absent for non-Procurement. Approve PR button absent for PR requesters.;All four roles tested. Unit cost absent from UI state for non-Finance. PO creation absent for Warehouse. Self-approval button never shown regardless of role. Tested via Playwright.;Epic 3: Frontend;FE;5;P0;Sprint 2;INF-04;Not Started;
FE-09;Supplier directory & scorecard;Build /ops/supply-chain/suppliers list with 4-metric scorecard badges per supplier. Risk score band colour-coding. Click-through to supplier detail: contact info, contract history (VF-LEG-001 link), performance trend charts, risk register.;All 4 metric badges shown per supplier. Risk score colour-coded (GREEN/AMBER/RED). Performance trend charts show 6-month history. VF-LEG-001 contract links work. Risk register editable.;Epic 3: Frontend;FE;8;P1;Sprint 3;BE-08,BE-14;Not Started;
FE-10;Multi-location stock view;Build location selector on inventory catalog. Per-location stock breakdown per SKU. Inter-location transfer request UI. In-transit stock indicator. Network optimisation suggestions (overstocked vs understocked locations).;Location filter works on catalog. Per-location breakdown accurate. Transfer request modal submits correctly. In-transit quantities visually distinct. Network suggestions shown where applicable.;Epic 3: Frontend;FE;8;P1;Sprint 3;BE-02,BE-03;Not Started;
FE-11;PO amendment UI;Build amendment creation flow accessible from locked PO detail page. Shows original vs proposed changes. Re-approval status tracker. Supplier acknowledgement status.;Amendment form shows original values for context. Change summary shown before submission. Approval status tracker shows each approver. Supplier acknowledgement status shown.;Epic 3: Frontend;FE;5;P1;Sprint 3;BE-10;Not Started;
FE-12;Three-way match panel;Build matching status panel on PO detail page. Shows PO lines, GR quantities, and invoice lines side by side. Variance highlighting. Dispute resolution workflow.;Three-way match shows all three columns. Variances highlighted in amber/red. Dispute button routes to Procurement Manager. Matched invoices show green confirmation.;Epic 3: Frontend;FE;5;P1;Sprint 3;BE-11;Not Started;
FE-13;Demand forecast & EOQ view;Build forecasting dashboard: demand forecast charts (30/60/90 day) per SKU, EOQ calculator widget, dynamic reorder point visualisation, data sufficiency indicator.;Forecast charts render correctly. EOQ calculation shown with formula breakdown. Dynamic reorder point shown vs static threshold. Data sufficiency indicator suppresses charts when <3 months of data.;Epic 3: Frontend;FE;8;P1;Sprint 4;BE-12;Not Started;
FE-14;Predictive stockout list;Build prioritised stockout prediction list on dashboard. Shows days-to-stockout per SKU, in-transit quantities, recommended action (order now vs transfer from another location).;List sorted by days-to-stockout ascending. In-transit quantities shown separately. Recommended action shown. One-click 'Create PR' from stockout list.;Epic 3: Frontend;FE;5;P2;Sprint 4;BE-18;Not Started;
FE-15;ABC/XYZ matrix view;Build ABC/XYZ classification matrix showing portfolio distribution. Heat map of SKUs by combined class. Click quadrant to see filtered catalog. Cycle count schedule per class.;3x3 matrix renders with SKU counts per quadrant. Colour-coded by class. Click-through to filtered catalog works. Cycle count schedule shown per class.;Epic 3: Frontend;FE;5;P2;Sprint 4;BE-13;Not Started;
FE-16;Stock valuation reports;Build /ops/supply-chain/reports with: stock valuation by method/location/category, SLOB report (items with no movement >90 days), inventory turnover chart, estimated write-down value.;Valuation method toggle (FIFO/WAC/Standard). Location and category filters work. SLOB items highlighted with estimated write-down. Export to PDF and CSV works.;Epic 3: Frontend;FE;8;P1;Sprint 4;BE-16;Not Started;
FE-17;Spend analytics dashboard;Build spend analytics with: category spend bar charts, supplier spend pie chart, maverick spend table, cost centre breakdown, 12-month trend line.;All chart types render correctly. Maverick spend table shows non-compliant purchases with variance from contracted rate. Cost centre breakdown filterable. Export works.;Epic 3: Frontend;FE;5;P2;Sprint 4;BE-19;Not Started;
FE-18;RFQ management UI;Build RFQ creation form with supplier invitation. Quote submission panel (manual input). Quote comparison matrix with auto-highlighted best value per line. RFQ mandate enforcement warning.;Supplier invitation sends correctly. Quote inputs validated. Comparison matrix highlights best price, shortest lead time. Mandate warning shown when high-value PR has no completed RFQ.;Epic 3: Frontend;FE;5;P2;Sprint 4;BE-15;Not Started;
SEC-01;API role guards;Implement NestJS guards: AdminGuard, FinanceGuard, ProcurementGuard, WarehouseGuard. Apply to all 13 endpoints per RBAC matrix §2.2.1. Self-approval prevention enforced at service layer.;All unauthorised requests return 403. Guards tested for all four roles against every endpoint. Self-approval returns 403 with error 'SELF_APPROVAL_NOT_PERMITTED'. Verified in integration tests.;Epic 4: Security;BE;5;P0;Sprint 1;INF-04;Not Started;RBAC matrix in §2.2.1 is the authoritative reference. Must be signed off before implementation.
SEC-02;Ledger immutability enforcement;Ensure StockLedger has no UPDATE or DELETE endpoints. Add database-level trigger preventing direct updates. Add reconciliation job comparing ledger sum to cached StockLevel daily.;No UPDATE/DELETE endpoints exist. DB trigger blocks direct row updates. Reconciliation job runs daily and alerts on discrepancy. Verified in QA-04 pen test.;Epic 4: Security;BE;3;P0;Sprint 1;BE-02;Not Started;Both API-level AND database-level immutability required. One layer alone is insufficient.
SEC-03;PO modification lock & amendment enforcement;Prevent PO edits after status = SENT. API rejects changes to locked POs with HTTP 423 (Locked). Only amendment workflow (BE-10) allows changes to sent POs.;PUT/PATCH on locked PO returns HTTP 423. Amendment endpoint available to Procurement and Finance only. Verified in QA-04.;Epic 4: Security;BE;3;P1;Sprint 2;BE-06;Not Started;
SEC-04;Financial data masking;Ensure unitCost and all valuation fields are accessible only to Finance and Admin roles. API returns null for masked fields for Procurement and Warehouse roles.;Unit cost returns null for Procurement and Warehouse roles. Stock valuation endpoint returns 403 for non-Finance/Admin. Verified for all four roles in integration tests.;Epic 4: Security;BE;3;P1;Sprint 2;SEC-01;Not Started;
SEC-05;Supplier bank detail change controls;Require Finance Director approval for any supplier bank detail or payment information change. Dual verification notification sent to separate Finance contact. All changes audit logged.;Bank detail change requires Finance Director role + approval workflow. Separate notification email to Finance contact on every change. Audit log entry with before/after values.;Epic 4: Security;BE;3;P0;Sprint 2;BE-01,BE-09;Not Started;Supplier fraud risk from §6. High severity despite low likelihood.
SEC-06;Audit log integrity;Ensure all audit log entries are immutable. No DELETE or PUT endpoints on AuditLog. Reconciliation check confirms no gaps in sequence.;No DELETE/PUT on AuditLog. Sequential audit IDs verified in pen test. Gap detection job alerts on missing sequence entries.;Epic 4: Security;BE;2;P0;Sprint 2;BE-09;Not Started;
QA-01;Unit tests — inventory ledger math;Jest tests for: ledger sum = stock level for all 10 entry types, atomic transfer rollback, partial GR quantity tracking, over-receipt rejection, quality rejection exclusion from stock.;Code coverage >80% for ledger engine. All 10 entry types have passing tests. Atomic transfer rollback verified. Over-receipt returns 422. Quality rejection does not increase stock.;Epic 5: QA & Testing;QA/BE;5;P1;Sprint 2;BE-02;Not Started;
QA-02;Unit tests — procurement workflow;Jest tests for: approval chain routing per policy, self-approval rejection, multi-level approval flow, PO modification lock, PR state machine all transitions.;All state transitions tested. Self-approval returns 403 in all scenarios. Multi-level routing correct. PO modification lock returns 423. Budget check integration mocked.;Epic 5: QA & Testing;QA/BE;5;P1;Sprint 2;BE-05,BE-06;Not Started;
QA-03;Integration tests — full procurement flow;Flow 1: Create PR ? approve (single level) ? create PO ? record full GR ? verify stock increase ? verify ledger entries. Flow 2: Create PR ? approve (multi-level) ? create PO ? partial GR ? quality rejection ? verify PO PARTIAL status.;Both flows pass consistently in CI. Stock levels verified in DB after each flow. Ledger entries verified for all types. Partial receipt and rejection correctly handled.;Epic 5: QA & Testing;QA/BE;8;P1;Sprint 3;BE-02,BE-05,BE-06,BE-07;Not Started;
QA-04;Security penetration test;Attempt: (1) DELETE/UPDATE StockLedger via API and direct DB. (2) Approve own PR. (3) Edit locked PO. (4) Access unit cost as Warehouse. (5) Change supplier bank details without Finance Director role. (6) Access PO PDF via direct S3 link.;All six attack vectors rejected. Ledger immutability confirmed at both API and DB levels. Self-approval blocked. Locked PO returns 423. Cost masking confirmed. S3 direct access returns 403.;Epic 5: QA & Testing;QA/SEC;5;P0;Sprint 3;SEC-01,SEC-02,SEC-03,SEC-04,SEC-05;Not Started;
QA-05;E2E test — goods receipt workflow;Playwright: Login as Warehouse ? Find PO ? Open GR wizard ? Input received quantities ? Flag quality rejection on one line ? Submit ? Verify stock increase for accepted lines ? Verify rejected lines not in stock.;Script passes consistently in Staging. Accepted quantity in stock. Rejected quantity absent from stock. SupplierRejection record created. PO status updated correctly.;Epic 5: QA & Testing;QA;5;P1;Sprint 3;FE-06,BE-07;Not Started;
QA-06;E2E test — procurement approval chain;Playwright: Login as Procurement ? Create PR (£10,000 value) ? Verify routed to Line Manager ? Login as Line Manager ? Approve ? Verify routed to Finance Director ? Login as Finance Director ? Approve ? Verify PO can be created.;Two-level approval flow works end-to-end. Each step receives correct email notification. PR status transitions correctly. PO creation only available after both approvals.;Epic 5: QA & Testing;QA;5;P1;Sprint 3;FE-04,BE-05;Not Started;
QA-07;Performance testing;Load test: inventory dashboard at 10,000 SKUs. Ledger entry creation under concurrent GRs. Procurement pipeline query at 500 open PRs/POs. Stock level aggregation after bulk import.;Dashboard < 2s P95. Ledger entry < 200ms. Pipeline query < 500ms P95. Bulk import (1,000 SKUs) completes < 2 minutes. No data integrity issues under concurrent load.;Epic 5: QA & Testing;QA/DEVOPS;5;P1;Sprint 4;BE-02,BE-03;Not Started;NFR targets from §2.2.3.
QA-08;UAT — warehouse & procurement teams;Warehouse team performs real stock count and GR workflow. Procurement team creates and approves real PRs, raises POs, manages supplier communications.;Head of Operations sign-off. Zero P0/P1 bugs at sign-off. All critical workflows completed without workarounds. Both teams confirm workflow matches their process.;Epic 5: QA & Testing;QA/PM;3;P0;Sprint 4;FE-01,FE-02,FE-04,FE-05,FE-06;Not Started;
OPS-01;Feature flag setup;Wrap entire Supply Chain module in ENABLE_SUPPLY_CHAIN feature flag. Module completely invisible (no routes, API endpoints, DB queries) when disabled.;Module invisible when flag disabled. Tested in staging with flag on and off. Flag togglable per environment without deployment.;Epic 6: Deployment;DEVOPS;2;P0;Sprint 1;;Not Started;
OPS-02;Production migration + rollback plan;Run Prisma migrations on production DB. Zero-downtime using expand-contract pattern. Rollback script authored and tested in staging. Post-migration smoke test.;Migrations run with zero downtime or documented maintenance window. Rollback script tested in staging and documented. Smoke test passes. No performance regression.;Epic 6: Deployment;DEVOPS;5;P0;Sprint 4;QA-08;Not Started;Rollback plan was absent from v1. Must be authored and tested before production deployment.
OPS-03;Stock take CSV import tool;Build CSV import tool for opening balance upload. Template with required fields. Validation (duplicate product codes, unknown locations, negative quantities). Bulk OPENING_BALANCE ledger entry creation.;CSV template downloadable. Validation errors shown per row before import. Bulk import creates correct OPENING_BALANCE ledger entries. Import report shows success/failure per row.;Epic 6: Deployment;BE;5;P0;Sprint 3;BE-02;Not Started;Critical for Phase 2 stock take. Physical count results must be importable without manual entry.
OPS-04;Cron job monitoring;Configure monitoring for: reorder alert cron failure, demand forecast batch job failure, reconciliation job failure (ledger sum vs StockLevel discrepancy), notification delivery failures.;Alert fires within 5 minutes of job failure. Reconciliation job alerts on any discrepancy > 0. Alert routes to on-call channel. Dashboard shows last successful run per job.;Epic 6: Deployment;DEVOPS;3;P1;Sprint 3;;Not Started;
OPS-05;User training programme;Workshop for Warehouse team (stock receipt, adjustments, transfers) and Procurement team (PR creation, PO management, supplier communication). Training materials and video walkthroughs.;Both workshops completed before Phase 3 rollout. Materials on internal wiki. >80% of each team complete self-assessment quiz. Head of Operations sign-off.;Epic 6: Deployment;PM;3;P1;Sprint 4;QA-08;Not Started;
OPS-06;Phase 1 & 2 rollout — data import;Import Product Catalog and Supplier Directory. Configure approval policies. Configure locations. Perform physical stock count. Import opening balances via OPS-03.;>99% of active SKUs imported with correct reorder points. Supplier directory complete. Approval thresholds configured and signed off. Opening balances reconcile with physical count.;Epic 6: Deployment;DEVOPS/PM;3;P0;Sprint 4;OPS-02,OPS-05;Not Started;
