VF-OPS-001 — Implementation Task List;;;;;;;;;;;
ID;Title;Description;Acceptance Criteria;Epic;Role;SP;Priority;Sprint;Dependencies;Status;Notes
BE-10;Gantt data API;Create endpoint returning all data needed for Gantt rendering: project bars (start/end dates), milestones, dependency edges, forecast zones (from ProjectForecast), RAID flags (from RAIDItem.loggedDate and priority), baseline ghost bars.;All six Gantt signal types returned correctly. Filtered by user visibility. Response optimised for 100+ projects.;Epic 2: Backend;BE;8;P1;Sprint 3;BE-01, BE-11, BE-12;Not Started;Frontend Gantt (FE-04) depends on this endpoint shape being stable.
BE-11;Cross-project dependency engine;Implement ProjectDependency CRUD (FTS, STS, FTF types). On date change, perform topological sort of dependency graph and cascade date changes to downstream dependents. Notify downstream project owners.;Dependency CRUD works. Topological sort correctly identifies critical path. Date cascade triggers notifications. Circular dependency detected and rejected.;Epic 2: Backend;BE;8;P1;Sprint 3;DB-02;Not Started;Topological sort must be proven in isolated spike before integration. Scope BE-GANTT-SPIKE separately if needed.
BE-12;Monte Carlo forecast service;Calculate P50, P85, P95 delivery date estimates using N=10,000 simulations sampling from SprintRecord historical throughput distribution. Store in ProjectForecast. Nightly recalculation job. Suppress output if fewer than 3 sprints of data.;P50/P85/P95 computed correctly against test dataset. Confidence indicator suppressed below data threshold. Nightly job runs without timeout. Results stored and returned by Gantt API.;Epic 2: Backend;BE;13;P1;Sprint 4;DB-02, BE-10;Not Started;Requires SprintRecord data from at least 3 sprints. Display confidence indicator in UI. Do not expose forecast until minimum threshold met.
BE-13;Gate review workflow;Implement GateReview CRUD. Enforce required approvers list. Failed gate blocks downstream phase progression unless waived by Admin. All outcomes audit logged.;Gate CRUD works. Required approvers enforced. Failure blocks progression (HTTP 403 on next-phase request). Waiver requires Admin role + reason. Audit log entry on every outcome.;Epic 2: Backend;BE;8;P1;Sprint 4;DB-02, BE-08;Not Started;
BE-14;Capacity planning service;Aggregate weekly resource allocation per user across all projects. Expose capacity vs demand view. Flag overallocation above configurable threshold.;Weekly allocation correctly aggregated. Overallocation threshold configurable per organisation. API response consumable by FE-12 capacity grid.;Epic 2: Backend;BE;5;P2;Sprint 4;BE-06, DB-02;Not Started;
BE-15;OKR alignment service;Implement Objective and KeyResult CRUD. ProjectObjectiveLink model. OKR coverage calculation endpoint. Contribution score (0–100) per project-objective link.;OKR CRUD works. Coverage % calculated correctly. Contribution scores stored and returned. Portfolio dashboard receives OKR data.;Epic 2: Backend;BE;5;P2;Sprint 4;DB-02;Not Started;
BE-16;Export service — PDF and CSV;Implement project export in PDF and CSV formats. Define fields included, formatting standards. Access control: PM and Stakeholders (own projects only).;PDF export renders correctly with all defined fields. CSV export is parseable. File size limits enforced. Access control verified. Export time < 30s P95.;Epic 2: Backend;BE;5;P1;Sprint 3;BE-01, BE-04, BE-05;Not Started;Fields and formatting must be defined before development — see §2.2.5 of spec.
BE-17;Notification preferences service;Allow users to configure notification preferences: instant vs daily digest per notification type. PM can configure project-level alert thresholds.;Preferences stored per user. Digest job batches instant notifications correctly. Project-level thresholds override system defaults.;Epic 2: Backend;BE;3;P2;Sprint 4;INF-02;Not Started;Addresses notification fatigue risk in §6.
FE-01;Portfolio dashboard page;Build /ops/portfolio/dashboard with RAGHeatmap (grid of projects coloured by status), DeliveryGauge (% on-time), BudgetOverview (allocated vs spent), OKRCoverageRing, semantic filter pills.;All five components render correctly. Filter pills (All, Engineering, PMO, At Risk) work. At Risk filter shows only Amber/Red. Data refreshes on project RAG change.;Epic 3: Frontend;FE;8;P0;Sprint 2;BE-09;Not Started;
FE-02;Project workspace layout;Build /ops/projects/[id] with tabbed navigation: Kanban, RAID, Budget, Files, Gates, Decisions. ProjectHeader shows RAG status, owner, dates, health score, forecast date.;Tabs switch content without full reload. Header shows all six data points. RAG status colour-coded. Forecast confidence indicator shown.;Epic 3: Frontend;FE;5;P0;Sprint 2;BE-01;Not Started;
FE-03;Kanban board component;Build drag-and-drop Kanban using @dnd-kit. Five columns matching state machine (TODO, IN_PROGRESS, IN_REVIEW, BLOCKED, DONE). Optimistic UI update. Blocker indicator on cards. WIP limit display.;Tasks move between valid columns. Invalid transitions prevented with user-facing error. Blocker icon shown on BLOCKED cards. Optimistic update with rollback on failure.;Epic 3: Frontend;FE;13;P0;Sprint 2;BE-03, FE-02;Not Started;
FE-04;Gantt chart — static rendering;Build custom SVG Gantt with: bar rendering (coloured by RAG), progress fill layer (35% opacity), today line, milestone diamonds (pulse if overdue), RAID risk flags, dependency Bezier curves, baseline ghost bars, slip zones. Time scale toggle (Month/Quarter/Year). Semantic filter pills.;All seven premium signal types render correctly. Today line positioned accurately. Milestone diamonds pulse when overdue. RAID flags show tooltip on hover. Slip zone appears when forecast > planned end. Baseline ghost bars visible behind current bars.;Epic 3: Frontend;FE;21;P0;Sprint 3;BE-10;Not Started;Highest SP ticket in the project. This is the premium differentiator. Do NOT use a third-party Gantt library — custom SVG/Canvas only.
FE-05;Gantt chart — drag-to-reschedule;Add drag handles to Gantt bars. On drag, call BE-11 topological sort. Cascade date changes to downstream bars with animation. Show constraint violation warning before confirm.;Bar drag updates project dates. Downstream bars animate to new positions. Constraint violation modal shown before confirmation. Undo available for 30 seconds.;Epic 3: Frontend;FE;13;P1;Sprint 4;FE-04, BE-11;Not Started;Gate behind separate feature flag. BE-11 topological sort must be stable before this is started.
FE-06;RAID log data grid;Build table for RAID items with filters (Type: R/A/I/D, Priority, Status). Inline status editing. Decision register tab with full decision fields. RAID item creation modal.;All four RAID types filterable. Inline status edit saves without full reload. Decision register shows all fields from DecisionRecord model. Creation modal validates all required fields.;Epic 3: Frontend;FE;8;P1;Sprint 3;BE-04, FE-02;Not Started;
FE-07;Budget chart component;Build line/bar chart for Planned vs Actual spend. Variance % highlighted amber at 5–10%, red above 10%. Receipt upload link per spend entry. Budget history timeline.;Chart renders with correct data. Variance thresholds colour-coded correctly. Receipt upload opens file picker linked to BE-07. Chart updates on spend entry.;Epic 3: Frontend;FE;5;P1;Sprint 3;BE-05, FE-02;Not Started;
FE-08;Project creation wizard;Build 5-step form: Details ? OKR Link ? Budget ? Team ? Gate Configuration. Each step validates before advance. Summary review before submit.;All 5 steps validate inputs before advancing. OKR selector shows active objectives. Team member search works. Gate configuration optional but saves if provided. Summary step shows all inputs before final submit.;Epic 3: Frontend;FE;8;P0;Sprint 3;BE-01, BE-15;Not Started;
FE-09;Task detail modal;Build modal opening from Kanban card. Shows task details, state transition buttons (per state machine), comments thread, file attachments, cycle time, assignee.;Modal opens without page reload. State transition buttons show only valid next states. Comments save in real time. File attachment uploads via BE-07. Cycle time displayed.;Epic 3: Frontend;FE;5;P1;Sprint 3;BE-03, BE-07, FE-03;Not Started;
FE-10;RBAC frontend guards;Implement route guards and component-level permission checks based on RBAC matrix in §2.2.3. All four roles tested: Admin, PM, Member, Stakeholder.;All buttons, tabs, and routes hidden/disabled per permission matrix. Tested for all four roles. Budget tab invisible to Members and Stakeholders. Manual RAG override button visible to Admin only.;Epic 3: Frontend;FE;5;P0;Sprint 2;INF-03;Not Started;Permission matrix in §2.2.3 of spec is the authoritative reference.
FE-11;File upload component;Build drag-and-drop upload zone for project attachments. Show upload progress. Validate file type and size client-side. File list updates on success. Delete with confirmation.;Drag-and-drop works. Upload progress shown. Client-side type/size validation matches server-side rules. File list reflects upload result. Delete requires confirmation.;Epic 3: Frontend;FE;3;P1;Sprint 3;BE-07;Not Started;
FE-12;Capacity planning grid;Build weekly grid showing each person's allocated % vs available hours across all their projects. Overallocation (>100%) highlighted red. Skill badges per person. Filterable by team.;Weekly allocation shown per person. Overallocation highlighted in red. Skill badges display top 3 skills. Team filter works. Grid scrollable horizontally for 12-week view.;Epic 3: Frontend;FE;8;P2;Sprint 4;BE-14, FE-01;Not Started;
FE-13;Dependency graph view;Build directed graph visualisation alongside Gantt. Nodes coloured by RAG status. Edges show dependency type. Critical path highlighted on milestone hover.;Graph renders all project nodes and dependency edges. RAG colours applied to nodes. Critical path highlights in distinct colour on hover. Zoom and pan functional.;Epic 3: Frontend;FE;13;P1;Sprint 4;BE-11, FE-04;Not Started;
FE-14;Public status page builder;Build configurable external-facing page at /ops/projects/[id]/status. Auto-populated from project data. PM adds optional commentary. Shareable link with optional password. Mobile-friendly.;Page renders without authentication. PM can toggle which sections are visible. Commentary field saves. Shareable link generated. Optional password protection works.;Epic 3: Frontend;FE;8;P2;Sprint 5;BE-01, FE-02;Not Started;
FE-15;Gate review panel;Build gate review interface within project workspace. Entry/exit criteria checklist. Approve/Fail/Waive action buttons. Required approvers list with status badges. Gate history.;Criteria checklist interactive. Approve/Fail buttons trigger BE-13 workflow. Waive button visible to Admin only. Approver list shows who has/hasn't acted. Gate history shows all past outcomes.;Epic 3: Frontend;FE;5;P1;Sprint 4;BE-13, FE-02;Not Started;
FE-16;Velocity analytics dashboard;Build sprint-over-sprint throughput charts, cycle time scatter plot, and cumulative flow diagram (CFD). All charts filterable by date range.;Throughput bar chart renders with trend line. Cycle time scatter plot highlights outliers (>2x median). CFD shows column distribution over time. Date range filter works.;Epic 3: Frontend;FE;8;P2;Sprint 5;BE-12;Not Started;
FE-17;Prioritisation scoring matrix;Build value vs effort 2x2 matrix view. Projects plotted as bubbles sized by budget. Score calculation using configurable weight coefficients (value, strategic fit, risk, effort).;2x2 matrix renders with project bubbles. Bubble size proportional to budget. Score formula uses configurable weights. PMO Admin can edit weight coefficients. Quadrant labels shown.;Epic 3: Frontend;FE;8;P2;Sprint 5;BE-15;Not Started;
SEC-01;API role guards;Implement NestJS guards: AdminGuard, PMOGuard, ProjectManagerGuard, MemberGuard, StakeholderGuard. Apply to all endpoints per RBAC matrix §2.2.3.;All unauthorised requests return 403. Guards tested for all four roles against every endpoint in §4.3. No elevation of privilege possible.;Epic 4: Security;BE;5;P0;Sprint 1;INF-03;Not Started;RBAC matrix in §2.2.3 is the authoritative reference. Must be signed off before implementation.
SEC-02;Budget data access control;Ensure Budget fields and endpoints are accessible only to Finance/PM roles. API returns 403 for Members and Stakeholders.;Budget endpoints return 403 for Member and Stakeholder roles. Verified in integration tests for all four roles. Budget tab hidden in FE-10.;Epic 4: Security;BE;3;P1;Sprint 2;SEC-01;Not Started;
SEC-03;Audit log integrity enforcement;Ensure ProjectAuditLog has no DELETE or PUT endpoints. Entries are immutable after creation. Verify in penetration test QA-06.;No DELETE/PUT endpoints exposed for AuditLog. API returns 405 Method Not Allowed. Verified in QA-06 security pen test.;Epic 4: Security;BE;2;P0;Sprint 1;BE-08;Not Started;
SEC-04;Data isolation — project visibility;Ensure users can only query projects they are assigned to unless they have Admin or PMO role. Apply ownership/assignment filter to all project queries.;All project list and detail queries filtered by assignment. Admin/PMO bypass verified. Unauthorised project access returns 404 (not 403, to avoid enumeration).;Epic 4: Security;BE;5;P0;Sprint 1;DB-01;Not Started;Return 404 not 403 to prevent project ID enumeration.
SEC-05;OpenAPI spec generation;Generate and publish OpenAPI 3.0 specification for all endpoints in §4.3. Include request/response schemas, error codes, and auth requirements.;OpenAPI spec generated and accessible at /api/docs. All 11+ endpoints documented with full schema. Spec validated with no errors. Updated automatically on deployment.;Epic 4: Security;BE;5;P0;Sprint 1;BE-01;Not Started;This was a critical gap in the v1 spec. Must be done before FE begins building against the API.
SEC-06;Manual RAG override controls;Implement Admin-only manual RAG override endpoint. Require reason code. Enforce audit log entry. Build override UI visible only to Admin role.;Override endpoint requires Admin JWT. Reason code is mandatory (HTTP 422 if absent). Audit log entry created with overriding userId, reason, previous value. Override visible in project audit trail.;Epic 4: Security;BE+FE;3;P1;Sprint 2;BE-02, SEC-01;Not Started;
QA-01;Unit tests — RAG logic;Write Jest unit tests for all RAG calculation scenarios including all edge cases defined in §2.1.3: simultaneous conditions, initial state, auto-revert, budget AMBER/RED thresholds.;Code coverage >80% for RAG engine. All edge cases in §2.1.3 have explicit test cases. Priority order (RED > AMBER > GREEN) verified.;Epic 5: QA & Testing;QA/BE;5;P1;Sprint 2;BE-02;Not Started;
QA-02;Unit tests — Kanban state machine;Write Jest tests for all state transitions in the 5-state machine including backward transitions and blocker validation.;All valid transitions have passing tests. All invalid transitions have rejection tests. Backward transition conditions verified. Blocker check for DONE verified.;Epic 5: QA & Testing;QA/BE;3;P1;Sprint 2;BE-03;Not Started;
QA-03;Integration tests — core flows;Test end-to-end API flows: (1) Create Project ? Add Task ? Make Overdue ? Verify RAG changes to Amber then Red. (2) Update Budget ? Exceed 10% ? Verify alert triggered and RAG recalculated.;Both flows pass consistently in CI. All endpoints return expected status codes. RAG transitions verified against database state. Alert delivery verified.;Epic 5: QA & Testing;QA/BE;8;P1;Sprint 3;BE-01, BE-02, BE-05;Not Started;
QA-04;Integration tests — RBAC flows;Test all four roles (Admin, PM, Member, Stakeholder) against all endpoints in §4.3. Verify 403/404 responses for unauthorised access patterns.;All four roles tested against all endpoints. No role can access a resource it should not. No role is blocked from a resource it should have. Verified in CI.;Epic 5: QA & Testing;QA/BE;5;P1;Sprint 3;SEC-01, SEC-04;Not Started;
QA-05;E2E test — Kanban workflow;Playwright script: Login as PM ? Create task ? Move task through states ? Attempt invalid transition ? Verify DB state. Test with blocker active.;Script passes consistently in Staging. Invalid transition correctly blocked with user-facing error. DB state verified after each move. Blocker validation confirmed.;Epic 5: QA & Testing;QA;5;P1;Sprint 3;FE-03, BE-03;Not Started;
QA-06;E2E test — Gantt chart;Playwright script: Create project with milestone ? Set RAID risk ? Verify Gantt renders bar, milestone diamond, and RAID flag. Set date to past milestone ? Verify diamond pulses.;All three Gantt signals render correctly in Playwright. RAID flag appears at correct date position. Overdue milestone diamond pulse verified. Tooltip content verified.;Epic 5: QA & Testing;QA;5;P1;Sprint 4;FE-04, BE-10;Not Started;
QA-07;Security penetration test;Attempt: (1) Access budget data as Member. (2) Access another user's project. (3) Manually override RAG without Admin role. (4) Modify or delete audit log entry. (5) Bypass Kanban blocker validation via direct API call.;All five attack vectors rejected. System returns appropriate error codes. No data leakage in error messages. All attempts logged to audit trail.;Epic 5: QA & Testing;QA/SEC;5;P0;Sprint 4;SEC-01–06;Not Started;
QA-08;Performance testing;Load test portfolio dashboard with 500 active projects. Load test RAG recalculation under concurrent task updates. Load test Gantt endpoint with 100 projects and dependencies.;Portfolio dashboard < 2s P95 at 500 projects. RAG recalculation < 500ms. Gantt endpoint < 3s at 100 projects. No memory leaks over 1-hour sustained load.;Epic 5: QA & Testing;QA/DEVOPS;5;P1;Sprint 4;BE-09, BE-10;Not Started;NFR targets from §2.2.1 of spec.
QA-09;UAT — Project Managers;PMs use real projects in Staging: create a project, track tasks on Kanban, log RAID items, view Gantt, approve a gate review, export a report.;Head of Operations signs off on UAT script completion. All critical user journeys completed without workarounds. Bug severity P0/P1 count: zero.;Epic 5: QA & Testing;QA/PM;3;P0;Sprint 4;FE-01–15, BE-01–16;Not Started;Sign-off required before OPS-02 (production migration) is scheduled.
OPS-01;Feature flag setup;Wrap entire PPM module in ENABLE_PPM feature flag using LaunchDarkly or equivalent. Module must be completely invisible when flag is false.;PPM module invisible (no routes, no API endpoints, no DB queries) when flag disabled. Tested in staging with flag both on and off. Flag can be toggled per environment.;Epic 6: Deployment;DEVOPS;2;P0;Sprint 1;;Not Started;
OPS-02;Production migration + rollback plan;Run Prisma migrations on production DB. Zero-downtime migration using expand-contract pattern. Rollback script tested in staging before production run.;Migrations run with zero downtime or in documented maintenance window. Rollback script tested in staging and documented. Post-migration smoke test passes. Monitoring confirms no performance degradation.;Epic 6: Deployment;DEVOPS;5;P0;Sprint 5;QA-09;Not Started;Rollback plan was absent in v1 spec. Must be authored and tested in staging before production deployment.
OPS-03;Performance monitoring setup;Configure monitoring alerts: RAG calculation query >500ms, portfolio dashboard >2s, Gantt endpoint >3s. Dashboard in monitoring tool showing key query performance.;All three alert thresholds configured. Monitoring dashboard live. Alert notification routes configured. Baseline metrics captured from staging load test.;Epic 6: Deployment;DEVOPS;3;P1;Sprint 4;QA-08;Not Started;
OPS-04;User training programme;Conduct workshop with Project Managers covering: Kanban workflow, RAID logging, Gantt reading, gate review process. Produce training materials and video walkthroughs.;Workshop completed. Training materials published to internal wiki. PM team confirms understanding of all four workflows. At least 80% of PMs complete self-assessment quiz.;Epic 6: Deployment;PM;3;P1;Sprint 5;QA-09;Not Started;
OPS-05;Phase 1 rollout — Engineering pilot;Enable PPM for Engineering team only via feature flag. Migrate active Engineering projects from CSV. Collect velocity data for Monte Carlo baseline.;Engineering projects migrated. Feature flag enabled for Engineering role. Velocity data collection running. 3-sprint data baseline target set for Phase 2.;Epic 6: Deployment;DEVOPS/PM;3;P0;Sprint 5;OPS-02, OPS-04;Not Started;
